depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_190,stop_180,stop_170,stop_160,stop_150,stop_140,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,section,source_page,notes
320,120,10.0-12.2,5:20,,,,7,4,9,12,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
330,10,10.0-11.8,6:20,,,,,,7,0,0,0,2,3,3,4,7,10,10,22,40,,2,decompression,12-38,manual reviewed
330,20,10.0-11.8,6:00,,,,,7,0,0,2,3,4,6,5,10,10,10,10,33,60,,4,decompression,12-38,manual reviewed
330,30,10.0-11.8,6:00,,,,,7,0,1,4,5,6,8,8,13,17,17,17,35,66,,6,decompression,12-38,manual reviewed
330,40,10.0-11.8,5:40,,,,7,0,1,4,5,7,7,10,12,17,22,22,22,36,66,,7,decompression,12-38,manual reviewed exceptional exposure
330,60,10.0-11.8,5:40,,,,7,0,5,6,8,9,11,15,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
330,80,10.0-11.8,5:40,,,,7,2,7,8,10,13,15,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
330,100,10.0-11.8,5:40,,,,7,5,9,9,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
330,120,10.0-11.8,5:20,,,7,1,7,10,13,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
340,10,10.0-11.5,6:40,,,,,,7,0,0,0,3,3,3,4,7,10,10,23,41,,3,decompression,12-39,manual reviewed exceptional exposure
340,20,10.0-11.5,6:20,,,,,7,0,0,2,4,5,7,8,9,10,10,10,33,60,,5,decompression,12-39,manual reviewed exceptional exposure
340,30,10.0-11.5,6:00,,,,7,0,0,3,5,5,6,8,9,13,18,18,18,35,66,,6,decompression,12-39,manual reviewed exceptional exposure
340,40,10.0-11.5,6:00,,,,7,0,2,4,6,7,8,10,13,16,22,22,22,36,66,,7,decompression,12-39,manual reviewed exceptional exposure
340,60,10.0-11.5,5:40,,,7,0,3,5,6,9,10,13,16,18,21,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
340,80,10.0-11.5,5:40,,,7,0,7,7,8,11,13,15,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
340,100,10.0-11.5,5:40,,,7,2,8,8,12,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
340,120,10.0-11.5,5:40,,,7,4,9,11,13,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
350,10,10.0-11.2,6:40,,,,,7,0,0,0,2,2,3,3,5,7,10,10,24,43,,3,decompression,12-39,manual reviewed exceptional exposure
350,20,10.0-11.2,6:20,,,,7,0,0,0,4,4,5,5,7,9,13,13,13,33,63,,5,decompression,12-39,manual reviewed exceptional exposure
350,30,10.0-11.2,6:20,,,,7,0,1,4,4,5,7,8,11,13,18,18,18,36,66,,6,decompression,12-39,manual reviewed exceptional exposure
350,40,10.0-11.2,6:00,,,7,0,1,3,5,6,7,8,11,14,17,23,23,23,36,66,,7,decompression,12-39,manual reviewed exceptional exposure
350,60,10.0-11.2,6:00,,,7,0,5,5,8,8,11,12,16,19,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
350,80,10.0-11.2,6:00,,,7,2,7,7,10,11,13,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
350,100,10.0-11.2,5:40,,7,0,6,8,9,11,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
350,120,10.0-11.2,5:40,,7,1,7,9,12,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
360,10,10.0-10.9,7:00,,,,,7,0,0,0,2,2,3,3,7,7,10,10,25,44,,3,decompression,12-39,manual reviewed exceptional exposure
360,20,10.0-10.9,6:40,,,7,0,0,0,2,3,4,5,5,8,10,13,13,13,34,63,,5,decompression,12-39,manual reviewed exceptional exposure
360,30,10.0-10.9,6:20,,,7,0,0,3,3,5,6,7,8,11,13,19,19,19,36,66,,7,decompression,12-39,manual reviewed exceptional exposure
360,40,10.0-10.9,6:20,,,7,0,2,4,5,7,7,9,10,14,20,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
360,60,10.0-10.9,6:20,,,7,0,4,5,7,8,9,11,13,17,20,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
360,80,10.0-10.9,6:00,,7,0,3,6,6,8,11,12,14,16,19,20,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
360,100,10.0-10.9,6:00,,7,2,7,8,11,13,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
360,120,10.0-10.9,6:00,,7,4,8,10,12,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-39,manual reviewed exceptional exposure
370,10,10.0-10.6,7:00,,,,,7,0,0,0,3,3,3,3,7,7,10,10,25,46,,3,decompression,12-40,manual reviewed exceptional exposure
370,20,10.0-10.6,6:40,,,,7,0,0,3,4,4,5,5,8,10,13,13,13,34,63,,5,decompression,12-40,manual reviewed exceptional exposure
370,30,10.0-10.6,6:20,,7,0,0,2,3,4,4,7,7,8,11,16,19,19,19,36,66,,7,decompression,12-40,manual reviewed exceptional exposure
370,40,10.0-10.6,6:20,,7,0,0,4,4,5,6,8,10,11,14,20,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
370,60,10.0-10.6,6:20,,7,0,4,5,7,8,9,11,13,17,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
370,80,10.0-10.6,6:00,7,0,3,6,7,9,10,12,15,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
370,100,10.0-10.6,6:00,7,0,6,7,9,10,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
370,120,10.0-10.6,6:00,7,1,7,9,11,13,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
380,10,10.0-10.4,7:20,,,,,7,0,0,0,3,3,3,3,7,7,10,10,25,46,,3,decompression,12-40,manual reviewed exceptional exposure
380,20,10.0-10.4,7:00,,,,7,0,0,3,4,4,5,5,8,10,13,13,13,34,63,,6,decompression,12-40,manual reviewed exceptional exposure
380,30,10.0-10.4,6:40,,7,0,0,2,3,4,4,7,7,8,11,16,19,19,19,36,66,,7,decompression,12-40,manual reviewed exceptional exposure
380,40,10.0-10.4,6:40,,7,0,0,4,4,5,6,8,10,11,14,20,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
380,60,10.0-10.4,6:40,,7,0,4,5,7,8,9,11,13,17,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
380,80,10.0-10.4,6:20,7,0,3,6,7,9,10,12,15,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
380,100,10.0-10.4,6:20,7,0,6,7,9,10,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
380,120,10.0-10.4,6:20,7,1,7,9,11,13,14,15,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-40,manual reviewed exceptional exposure
