depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,repeat_group,section,source_page,notes
40,12,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
40,20,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
40,27,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
40,36,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
40,44,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
40,53,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
40,63,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
40,73,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
40,84,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
40,95,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
40,108,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
40,121,AIR,,,,,,,,,,,,,,,,L,no_decompression,,
40,135,AIR,,,,,,,,,,,,,,,,M,no_decompression,,
40,151,AIR,,,,,,,,,,,,,,,,N,no_decompression,,
40,163,AIR,,,,,,,,,,,,,,,,O,no_decompression,,
40,170,AIR,0:40,,,,,,,,,,,,6,,0.5,O,csv_import,,
40,180,AIR,0:40,,,,,,,,,,,,14,,0.5,Z,csv_import,,
40,190,AIR,0:40,,,,,,,,,,,,21,,0.5,Z,csv_import,,
40,200,AIR,0:40,,,,,,,,,,,,27,,0.5,Z,csv_import,,
40,210,AIR,0:40,,,,,,,,,,,,39,,0.5,Z,csv_import,,
40,220,AIR,0:40,,,,,,,,,,,,52,,0.5,Z,csv_import,,
40,230,AIR,0:40,,,,,,,,,,,,64,,1,Z,csv_import,,
40,240,AIR,0:40,,,,,,,,,,,,75,,1,Z,csv_import,,
40,270,AIR,0:40,,,,,,,,,,,,101,,1,Z,csv_import,,
40,300,AIR,0:40,,,,,,,,,,,,128,,1.5,,csv_import,,
40,330,AIR,0:40,,,,,,,,,,,,160,,1.5,,csv_import,,
40,360,AIR,0:40,,,,,,,,,,,,184,,2,,csv_import,,
40,420,AIR,0:40,,,,,,,,,,,,248,,2.5,,csv_import,,
40,480,AIR,0:40,,,,,,,,,,,,321,,2.5,,csv_import,,
40,540,AIR,0:40,,,,,,,,,,,,372,,3,,csv_import,,
40,600,AIR,0:40,,,,,,,,,,,,410,,3.5,,csv_import,,
40,660,AIR,0:40,,,,,,,,,,,,439,,4,,csv_import,,
40,720,AIR,0:40,,,,,,,,,,,,461,,4.5,,csv_import,,
45,11,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
45,17,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
45,24,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
45,31,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
45,39,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
45,46,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
45,55,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
45,63,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
45,72,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
45,82,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
45,92,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
45,102,AIR,,,,,,,,,,,,,,,,L,no_decompression,,
45,114,AIR,,,,,,,,,,,,,,,,M,no_decompression,,
45,125,AIR,,,,,,,,,,,,,,,,N,no_decompression,,
45,130,AIR,0:50,,,,,,,,,,,,2,,0.5,O,csv_import,,
45,140,AIR,0:50,,,,,,,,,,,,14,,0.5,O,csv_import,,
45,150,AIR,0:50,,,,,,,,,,,,25,,0.5,Z,csv_import,,
45,160,AIR,0:50,,,,,,,,,,,,34,,0.5,Z,csv_import,,
45,170,AIR,0:50,,,,,,,,,,,,41,,1,Z,csv_import,,
45,180,AIR,0:50,,,,,,,,,,,,59,,1,Z,csv_import,,
45,190,AIR,0:50,,,,,,,,,,,,71,,1,Z,csv_import,,
45,200,AIR,0:50,,,,,,,,,,,,89,,1,Z,csv_import,,
45,210,AIR,0:50,,,,,,,,,,,,107,,1,Z,csv_import,,
45,220,AIR,0:50,,,,,,,,,,,,122,,1.5,Z,csv_import,,
45,230,AIR,0:50,,,,,,,,,,,,130,,1.5,Z,csv_import,,
45,240,AIR,0:50,,,,,,,,,,,,173,,2,,csv_import,,
45,300,AIR,0:50,,,,,,,,,,,,206,,2,,csv_import,,
45,330,AIR,0:50,,,,,,,,,,,,243,,2.5,,csv_import,,
45,360,AIR,0:50,,,,,,,,,,,,288,,3,,csv_import,,
45,420,AIR,0:50,,,,,,,,,,,,373,,3.5,,csv_import,,
45,480,AIR,0:50,,,,,,,,,,,,431,,4,,csv_import,,
45,540,AIR,0:50,,,,,,,,,,,,473,,4.5,,csv_import,,
50,9,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
50,15,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
50,21,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
50,28,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
50,34,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
50,41,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
50,48,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
50,56,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
50,63,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
50,71,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
50,80,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
50,89,AIR,,,,,,,,,,,,,,,,L,no_decompression,,
50,92,AIR,,,,,,,,,,,,,,,,M,no_decompression,,
50,95,AIR,1:00,,,,,,,,,,,,2,,0.5,M,csv_import,,
50,100,AIR,1:00,,,,,,,,,,,,4,,0.5,N,csv_import,,
50,110,AIR,1:00,,,,,,,,,,,,8,,0.5,O,csv_import,,
50,120,AIR,1:00,,,,,,,,,,,,21,,0.5,O,csv_import,,
50,130,AIR,1:00,,,,,,,,,,,,34,,0.5,Z,csv_import,,
50,140,AIR,1:00,,,,,,,,,,,,45,,1,Z,csv_import,,
50,150,AIR,1:00,,,,,,,,,,,,56,,1,Z,csv_import,,
50,160,AIR,1:00,,,,,,,,,,,,78,,1,Z,csv_import,,
50,170,AIR,1:00,,,,,,,,,,,,96,,1,Z,csv_import,,
50,180,AIR,1:00,,,,,,,,,,,,111,,1.5,Z,csv_import,,
50,190,AIR,1:00,,,,,,,,,,,,125,,1.5,Z,csv_import,,
50,200,AIR,1:00,,,,,,,,,,,,136,,1.5,Z,csv_import,,
50,210,AIR,1:00,,,,,,,,,,,,147,,2,,csv_import,,
50,220,AIR,1:00,,,,,,,,,,,,166,,2,,csv_import,,
50,230,AIR,1:00,,,,,,,,,,,,183,,2,,csv_import,,
50,240,AIR,1:00,,,,,,,,,,,,198,,2,,csv_import,,
50,270,AIR,1:00,,,,,,,,,,,,236,,2.5,,csv_import,,
50,300,AIR,1:00,,,,,,,,,,,,285,,3,,csv_import,,
50,330,AIR,1:00,,,,,,,,,,,,345,,3.5,,csv_import,,
50,360,AIR,1:00,,,,,,,,,,,,393,,3.5,,csv_import,,
50,420,AIR,1:00,,,,,,,,,,,,464,,4.5,,csv_import,,
55,8,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
55,14,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
55,19,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
55,25,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
55,31,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
55,37,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
55,43,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
55,50,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
55,56,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
55,63,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
55,71,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
55,74,AIR,,,,,,,,,,,,,,,,L,no_decompression,,
55,75,AIR,1:10,,,,,,,,,,,,1,,0.5,L,csv_import,,
55,80,AIR,1:10,,,,,,,,,,,,4,,0.5,M,csv_import,,
55,90,AIR,1:10,,,,,,,,,,,,10,,0.5,N,csv_import,,
55,100,AIR,1:10,,,,,,,,,,,,17,,0.5,O,csv_import,,
55,110,AIR,1:10,,,,,,,,,,,,34,,0.5,O,csv_import,,
55,120,AIR,1:10,,,,,,,,,,,,48,,1,Z,csv_import,,
55,130,AIR,1:10,,,,,,,,,,,,59,,1,Z,csv_import,,
55,140,AIR,1:10,,,,,,,,,,,,84,,1,Z,csv_import,,
55,150,AIR,1:10,,,,,,,,,,,,105,,1.5,Z,csv_import,,
55,160,AIR,1:10,,,,,,,,,,,,123,,1.5,Z,csv_import,,
55,170,AIR,1:10,,,,,,,,,,,,138,,1.5,Z,csv_import,,
55,180,AIR,1:10,,,,,,,,,,,,151,,2,Z,csv_import,,
55,190,AIR,1:10,,,,,,,,,,,,169,,2,,csv_import,,
55,200,AIR,1:10,,,,,,,,,,,,190,,2,,csv_import,,
55,210,AIR,1:10,,,,,,,,,,,,208,,2.5,,csv_import,,
55,220,AIR,1:10,,,,,,,,,,,,224,,2.5,,csv_import,,
55,230,AIR,1:10,,,,,,,,,,,,239,,2.5,,csv_import,,
55,240,AIR,1:10,,,,,,,,,,,,254,,3,,csv_import,,
55,270,AIR,1:10,,,,,,,,,,,,313,,3.5,,csv_import,,
55,300,AIR,1:10,,,,,,,,,,,,380,,3.5,,csv_import,,
55,330,AIR,1:10,,,,,,,,,,,,432,,4,,csv_import,,
55,360,AIR,1:10,,,,,,,,,,,,474,,4.5,,csv_import,,
60,7,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
60,12,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
60,17,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
60,22,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
60,28,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
60,33,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
60,39,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
60,45,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
60,51,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
60,57,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
60,63,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
60,65,AIR,1:20,,,,,,,,,,,,2,,0.5,L,csv_import,,
60,70,AIR,1:20,,,,,,,,,,,,7,,0.5,L,csv_import,,
60,80,AIR,1:20,,,,,,,,,,,,14,,0.5,N,csv_import,,
60,90,AIR,1:20,,,,,,,,,,,,23,,0.5,O,csv_import,,
60,100,AIR,1:20,,,,,,,,,,,,42,,1,Z,csv_import,,
60,110,AIR,1:20,,,,,,,,,,,,57,,1,Z,csv_import,,
60,120,AIR,1:20,,,,,,,,,,,,75,,1,Z,csv_import,,
60,130,AIR,1:20,,,,,,,,,,,,102,,1.5,Z,csv_import,,
